iter	Passed	Remaining
742	2986	1032
743	2989	1028
744	2993	1024
745	2997	1020
746	3001	1016
747	3005	1012
748	3009	1008
749	3013	1004
750	3017	1000
751	3022	996
752	3026	992
753	3030	988
754	3035	984
755	3039	980
756	3043	977
757	3047	973
758	3051	969
759	3056	965
760	3060	961
761	3064	957
762	3068	953
763	3072	949
764	3076	945
765	3080	941
766	3084	937
767	3088	933
768	3092	929
769	3096	925
770	3100	920
771	3104	916
772	3108	912
773	3112	908
774	3117	905
775	3121	901
776	3125	896
777	3129	893
778	3133	889
779	3137	885
780	3141	880
781	3145	877
782	3149	872
783	3153	868
784	3157	864
785	3161	860
786	3165	856
787	3170	852
788	3174	848
789	3177	844
790	3181	840
791	3186	836
792	3190	832
793	3194	828
794	3198	824
795	3202	820
796	3206	816
797	3210	812
798	3215	808
799	3219	804
800	3223	800
801	3227	796
802	3232	792
803	3236	788
804	3240	784
805	3244	781
806	3248	776
807	3253	773
808	3257	768
809	3261	765
810	3265	760
811	3269	757
812	3273	752
813	3277	748
814	3282	745
815	3286	740
816	3289	736
817	3293	732
818	3298	728
819	3302	724
820	3306	720
821	3310	716
822	3314	712
823	3318	708
824	3322	704
825	3326	700
826	3330	696
827	3334	692
828	3338	688
829	3342	684
830	3346	680
831	3350	676
832	3354	672
833	3358	668
834	3362	664
835	3367	660
836	3371	656
837	3375	652
838	3379	648
839	3383	644
840	3387	640
841	3391	636
842	3395	632
843	3398	628
844	3402	624
845	3406	620
846	3410	616
847	3414	612
848	3418	608
849	3422	604
850	3426	599
851	3430	595
852	3434	591
853	3438	587
854	3442	583
855	3446	579
856	3450	575
857	3454	571
858	3458	567
859	3462	563
860	3466	559
861	3470	555
862	3474	551
863	3478	547
864	3482	543
865	3486	539
866	3490	535
867	3493	531
868	3498	527
869	3502	523
870	3505	519
871	3509	515
872	3513	511
873	3517	507
874	3521	503
875	3525	499
876	3529	495
877	3533	490
878	3537	486
879	3541	482
880	3545	478
881	3549	474
882	3553	470
883	3557	466
884	3561	462
885	3565	458
886	3569	454
887	3573	450
888	3577	446
889	3581	442
890	3585	438
891	3589	434
892	3592	430
893	3596	426
894	3601	422
895	3605	418
896	3609	414
897	3613	410
898	3617	406
899	3621	402
900	3625	398
901	3629	394
902	3633	390
903	3638	386
904	3641	382
905	3646	378
906	3650	374
907	3654	370
908	3658	366
909	3662	362
910	3666	358
911	3670	354
912	3674	350
913	3679	346
914	3683	342
915	3687	338
916	3691	334
917	3695	330
918	3699	326
919	3703	322
920	3708	318
921	3712	314
922	3716	310
923	3720	306
924	3725	302
925	3729	298
926	3733	294
927	3737	290
928	3741	285
929	3745	281
930	3749	277
931	3754	273
932	3758	269
933	3762	265
934	3766	261
935	3770	257
936	3774	253
937	3778	249
938	3781	245
939	3785	241
940	3789	237
941	3793	233
942	3797	229
943	3801	225
944	3805	221
945	3809	217
946	3812	213
947	3817	209
948	3821	205
949	3825	201
950	3829	197
951	3833	193
952	3837	189
953	3841	185
954	3845	181
955	3849	177
956	3853	173
957	3857	169
958	3861	165
959	3865	161
960	3869	157
961	3874	153
962	3878	149
963	3882	144
964	3886	140
965	3890	136
966	3894	132
967	3898	128
968	3902	124
969	3906	120
970	3910	116
971	3914	112
972	3918	108
973	3922	104
974	3926	100
975	3930	96
976	3934	92
977	3938	88
978	3943	84
979	3947	80
980	3951	76
981	3955	72
982	3959	68
983	3963	64
984	3967	60
985	3971	56
986	3975	52
987	3979	48
988	3983	44
989	3987	40
990	3991	36
991	3996	32
992	4000	28
993	4004	24
994	4008	20
995	4012	16
996	4016	12
997	4019	8
998	4024	4
999	4028	0
